Year,State,District,target_yield,Season,Crop,yield,ndvi,rainfall,temperature
1986,Chhattisgarh,Raigarh,841.84,,,,,,
1987,Chhattisgarh,Raigarh,816.33,,,,,,
1988,Chhattisgarh,Raigarh,1014.24,,,,,,
1989,Chhattisgarh,Raigarh,902.68,,,,,,
1990,Chhattisgarh,Raigarh,964.36,,,,,,
1991,Chhattisgarh,Raigarh,1106.46,,,,,,
1992,Chhattisgarh,Raigarh,1054.84,,,,,,
1993,Chhattisgarh,Raigarh,1229.72,,,,,,
1994,Chhattisgarh,Raigarh,1337.46,,,,,,
1995,Chhattisgarh,Raigarh,1034.52,,,,,,
1996,Chhattisgarh,Raigarh,1287.35,,,,,,
1997,Chhattisgarh,Raigarh,816.3,,,,,,
1998,Chhattisgarh,Raigarh,1115.76,,,,,,
1999,Chhattisgarh,Raigarh,1131.18,,,,,,
2000,Chhattisgarh,Raigarh,564.73,,,,,,
2001,Chhattisgarh,Raigarh,1252.02,,,,,,
2002,Chhattisgarh,Raigarh,678.1,,,,,,
2003,Chhattisgarh,Raigarh,1294.14,,,,,,
2004,Chhattisgarh,Raigarh,991.22,,,,,,
2005,Chhattisgarh,Raigarh,991.22,,,,,,
2006,Chhattisgarh,Raigarh,1040.07,,,,,,
2007,Chhattisgarh,Raigarh,1259.04,,,,,,
2008,Chhattisgarh,Raigarh,1183.18,,,,,,
2009,Chhattisgarh,Raigarh,1118.31,,,,,,
2010,Chhattisgarh,Raigarh,1375.15,,,,,,
2011,Chhattisgarh,Raigarh,1430.41,,,,,,
2012,Chhattisgarh,Raigarh,1517.28,,,,,,
2013,Chhattisgarh,Raigarh,1387.92,,,,,,
2014,Chhattisgarh,Raigarh,1608.68,,,,,,
2015,Chhattisgarh,Raigarh,1013.29,,,,,,
2016,Chhattisgarh,Raigarh,1800.23,,,,,,
2017,Chhattisgarh,Raigarh,1516.07,,,,,,
1966,Chhattisgarh,Surguja,313.38,,,,,,
1967,Chhattisgarh,Surguja,654.68,,,,,,
1968,Chhattisgarh,Surguja,538.16,,,,,,
1969,Chhattisgarh,Surguja,673.57,,,,,,
1970,Chhattisgarh,Surguja,679.39,,,,,,
1971,Chhattisgarh,Surguja,863.59,,,,,,
1972,Chhattisgarh,Surguja,510.87,,,,,,
1973,Chhattisgarh,Surguja,748.9,,,,,,
1974,Chhattisgarh,Surguja,470.23,,,,,,
1975,Chhattisgarh,Surguja,744.9,,,,,,
1976,Chhattisgarh,Surguja,472.3,,,,,,
